id,question,answer,tags
1,Как связаны датчики температуры и температура котла? Почему датчики не влияют на температуру котла?,"Датчики температуры (например, комнатные) измеряют температуру воздуха/пола в помещениях и нужны для логики управления отоплением. Температура котла (подача/обратка/ГВС) обычно берётся из котла по цифровой шине (например, OpenTherm) или из внутренних датчиков котла. Что важно: 1) Датчики помещений НЕ равны датчикам котла — они не «заменяют» информацию котла. 2) Опрос датчиков помещений можно делать реже (раз в 30–120 секунд) — для комнаты нет смысла опрашивать каждую секунду. 3) Если используете OpenTherm: фактическую температуру котёл сообщает по шине, а внешние датчики участвуют в расчёте целевой температуры/режима (если такая логика реализована). Если цель — управлять именно котлом, сначала проверьте поддержку OpenTherm/EBUS/другой шины вашей моделью котла и правильность подключения.",opentherm;sensors;settings;curated;curated
2,В системе стоит второй контроллер/термостат. Может ли он «мешать» SmartTherm?,"Да, может. Если одновременно подключены два устройства, управляющих котлом (два контроллера/термостата/пульта), они могут конфликтовать. Проверьте: 1) Какой тип управления используется каждым устройством: сухой контакт (on/off) или цифровая шина (OpenTherm/EBUS и т.п.). 2) Не подключены ли два устройства к одному и тому же входу управления котлом. 3) Если есть штатный комнатный пульт/термостат котла — уточните по инструкции, допускается ли параллельное управление. Рекомендация: на время диагностики оставьте подключённым только один контроллер, проверьте стабильность работы, затем подключайте второй по корректной схеме.",wiring;compatibility;errors;curated;curated
3,Какой у вас котёл и почему это важно для подключения SmartTherm?,"Модель котла важна, потому что от неё зависит: 1) Поддержка цифровых протоколов (OpenTherm/EBUS/LPB и т.д.). 2) Тип входа управления: on/off (сухой контакт) или шина. 3) Совместимость по электрическим параметрам и ограничения производителя. Что сделать: 1) Найдите точную модель котла (шильдик/паспорт/инструкция). 2) В инструкции проверьте: есть ли OpenTherm (или иной протокол) и на каких клеммах он доступен. 3) Если протокола нет — используется режим on/off через сухой контакт. Если вы сообщаете точную модель, можно сразу выбрать правильный режим подключения и избежать ошибок.",compatibility;opentherm;wiring;curated;curated
4,Какая версия прошивки SmartTherm установлена и как её узнать?,"Версия прошивки нужна для диагностики и понимания доступных функций. Как узнать: 1) В интерфейсе устройства/веб-странице SmartTherm (если доступно) найдите раздел About/Информация. 2) В логах/сообщениях устройства иногда выводится версия и build. 3) Если используется интеграция (MQTT/Home Assistant), версия может быть опубликована как отдельный параметр. Что делать дальше: — Если проблема появилась после обновления, зафиксируйте текущую версию и дату обновления. — При обращении в поддержку всегда указывайте модель устройства и версию прошивки.",firmware;diagnostics;curated;curated
5,Можно ли подключить к SmartTherm другой датчик (не «родной»)?,"Зависит от типа датчика и входа на SmartTherm. Проверьте: 1) Тип датчика: цифровой (например, DS18B20/1-Wire) или аналоговый (NTC/термистор) или токовый 4–20 мА. 2) Поддерживает ли SmartTherm этот тип физически (вход, питание, диапазоны). 3) Нужна ли калибровка/таблица соответствия (для аналоговых датчиков). Рекомендация: используйте поддерживаемые типы датчиков из документации. Если хотите нестандартный датчик — начните с проверки электрических параметров (напряжение/ток/сопротивление) и безопасной схемы подключения.",sensors;wiring;hardware;curated;curated
6,Можно ли реализовать реле/управление реле на SmartTherm?,"Да, если в вашей конфигурации предусмотрен выход управления (GPIO/реле-модуль) и он поддерживается прошивкой. Что важно: 1) Для управления нагрузкой 220 В нельзя напрямую подключать выход микроконтроллера — нужен модуль реле/контактор. 2) Проверьте, какой именно выход доступен и какие режимы поддерживает прошивка. 3) Для котла обычно используют либо сухой контакт (on/off), либо цифровую шину (OpenTherm) — это не то же самое, что «реле на 220». Перед подключением к котлу убедитесь, что используется «сухой контакт» и не подаётся сетевое напряжение на вход управления котла.",wiring;hardware;safety;curated;curated
7,SmartTherm «не работает». С чего начать диагностику?,"Быстрый чек-лист: 1) Питание: устройство включается, есть стабильные 5V/3.3V (если применимо), блок питания достаточный. 2) Подключение к котлу: правильные клеммы, правильный режим (on/off или OpenTherm), нет конфликтов со вторым контроллером. 3) Сеть/Wi-Fi (если используется): устройство в сети, доступен интерфейс/телеметрия. 4) Версия прошивки: зафиксируйте версию и изменения перед проблемой. 5) Логи/сообщения об ошибках: выпишите точный текст. Если после этих шагов не понятно — подготовьте: модель котла, схема подключения, версия прошивки, фото клемм и описание симптомов.",diagnostics;errors;wiring;firmware;curated;curated
8,Где должен стоять термостат/датчик: у котла или в комнате? Как правильно управлять температурой?,"Комнатный термостат/датчик температуры должен измерять температуру там, где вы хотите её контролировать — обычно в помещении (или зоне), а не рядом с котлом. Типовой сценарий: 1) Котёл поддерживает температуру теплоносителя. 2) Температура в комнатах регулируется термоголовками/сервоприводами на коллекторе и/или комнатными термостатами. 3) SmartTherm может учитывать комнатные датчики, чтобы корректировать режим (если логика реализована). Если у вас «в каждой комнате свой термостат и термоголовки» — котёл часто работает как источник тепла, а комфорт обеспечивается зональным регулированием.",settings;sensors;heating;curated;curated
9,В чём отличие SmartTherm и SmartTherm32?,"Как правило, отличие связано с аппаратной платформой (например, ESP8266 vs ESP32), количеством ресурсов и поддерживаемыми интерфейсами. Типичные отличия: 1) ESP32 обычно мощнее, больше памяти, может устойчивее работать с сетью и несколькими задачами. 2) Может отличаться набор портов/входов под датчики. 3) Может отличаться поддержка функций прошивки. Чтобы точно: проверьте описание версии устройства/прошивки и список поддерживаемых функций. Для поддержки всегда указывайте конкретную модель (SmartTherm или SmartTherm32) и версию прошивки.",hardware;firmware;compatibility;curated;curated
10,Почему нельзя опрашивать DS18B20 слишком часто и сколько датчиков можно вешать на 1-Wire?,"Ограничение обычно связано со временем преобразования DS18B20 и качеством линии. Факты: 1) Время измерения DS18B20 зависит от разрешения и обычно порядка ~0.7–0.8 сек на датчик при максимальном разрешении. 2) Если датчиков несколько на одной линии, общий цикл опроса растёт. 3) Китайские клоны DS18B20 иногда плохо работают при нескольких датчиках на одной линии. Рекомендации: — Опрос помещений делайте раз в 30–120 секунд. — Если на одной линии проблемы — используйте качественные датчики, правильную подтяжку, или разводите датчики по разным линиям/разъёмам.",sensors;1wire;hardware;curated;curated
11,Не подключается к Wi-Fi. Что проверить в первую очередь?,"Чек-лист Wi-Fi: 1) Сеть 2.4 ГГц (многие IoT не поддерживают 5 ГГц). 2) Правильный SSID и пароль (без лишних пробелов). 3) Шифрование WPA2-PSK (редкие режимы могут не поддерживаться). 4) Сильный сигнал: поднесите устройство ближе к роутеру для проверки. 5) DHCP: роутер выдаёт IP, нет фильтрации по MAC. Если не помогло: перезапустите устройство и роутер, проверьте логи/индикаторы и сообщите модель роутера и версию прошивки SmartTherm.",wifi;diagnostics;errors;curated;curated
12,"Как понять, поддерживает ли мой котёл OpenTherm и что делать, если не поддерживает?","1) Найдите точную модель котла и откройте инструкцию. 2) В инструкции ищите раздел про интерфейсы/подключение термостатов: должно быть явно указано OpenTherm (или альтернативный протокол). 3) Если OpenTherm не указан — скорее всего используется on/off (сухой контакт). Если OpenTherm нет: — SmartTherm можно использовать в режиме on/off, если котёл допускает подключение комнатного термостата сухими контактами. — Никогда не подавайте 220 В на вход комнатного термостата котла.",opentherm;compatibility;wiring;safety;curated;curated
13,После обновления прошивки появились проблемы. Что делать?,"1) Зафиксируйте версию прошивки и дату обновления. 2) Сравните поведение: что было до и что стало (симптомы). 3) Проверьте настройки, которые могли сброситься (Wi-Fi/MQTT/режим управления). 4) Если есть возможность — попробуйте повторно прошить ту же версию или откатиться на стабильную (если предусмотрено). Для разбора подготовьте: модель устройства, версию прошивки, модель котла, схему подключения и логи.",firmware;diagnostics;errors;curated;curated
14,Как безопасно подключать термостат/контроллер к котлу (про сухие контакты и запрет 220 В)?,"Большинство котлов для внешнего термостата используют вход «сухой контакт» (релейный вход без подачи напряжения). Правила безопасности: 1) На клеммы термостата котла нельзя подавать сетевое напряжение 220–230 В. 2) Используйте только беспотенциальные контакты (реле) или штатные клеммы, указанные в инструкции. 3) Если сомневаетесь — сверяйтесь с инструкцией котла и схемой подключения. Нарушение может привести к выходу из строя платы управления котла.",safety;wiring;compatibility;curated;curated
15,Как подключить SmartTherm к Home Assistant / Алисе (в общих чертах)?,"Типовой вариант интеграции: 1) Поднять обмен данными через MQTT (если поддерживается прошивкой). 2) Подключить MQTT-интеграцию в Home Assistant. 3) Создать сущности (датчики/переключатели) и пробросить в голосового ассистента через поддерживаемый мост/интеграцию. Важно: точные топики и формат сообщений зависят от прошивки SmartTherm. Для настройки понадобятся параметры MQTT (broker, user/pass) и список публикуемых топиков.",homeassistant;mqtt;integration;curated;curated
16,Проблемы с питанием/зависаниями. Как подобрать блок питания для SmartTherm?,"Если устройство перезагружается или «подвисает», частая причина — питание. Рекомендации: 1) Используйте качественный блок питания с запасом по току (обычно 5V, не менее 2A, лучше с запасом). 2) Проверьте кабель: длинные/тонкие кабели дают падение напряжения. 3) Исключите питание от «шумных» источников (общие линии с инвертором/реле без фильтрации). 4) Для диагностики попробуйте другой БП и короткий кабель. Если зависания остаются — фиксируйте версию прошивки и условия (нагрузка, Wi-Fi сигнал).",power;diagnostics;hardware;curated;curated
17,Нужно ли два датчика T1/T2 и можно ли их объединять?,"Зависит от того, что измеряете. 1) Если T1 и T2 измеряют разные точки (подача/обратка/комната/пол) — объединять нельзя. 2) Если это два комнатных датчика в одной зоне — можно использовать один, если логика управления не требует второго. 3) На уровне 1-Wire физически можно повесить несколько датчиков на один GPIO, но качество зависит от датчиков и линии. Рекомендация: для разных зон/точек измерения используйте отдельные датчики, а частоту опроса делайте разумной (не каждую секунду).",sensors;settings;1wire;curated;curated
18,"Какие данные нужно приложить, чтобы эксперт быстро помог в чате?","Чтобы ускорить помощь, подготовьте: 1) точную модель котла; 2) тип подключения (on/off или OpenTherm/EBUS); 3) схему/фото клемм; 4) версию прошивки SmartTherm; 5) описание симптомов и когда началось; 6) логи/ошибки (если есть); 7) модель роутера (если проблема с Wi-Fi). Это уменьшает число уточняющих вопросов и ускоряет решение.",support;diagnostics;curated;curated
19,Как выбрать режим: on/off или OpenTherm?,"Если котёл поддерживает OpenTherm — обычно это предпочтительнее: появляется обратная связь и более гибкое управление. Алгоритм выбора: 1) Проверьте инструкцию котла: есть ли OpenTherm и на каких клеммах. 2) Если есть — подключайте по шине и настраивайте режим OpenTherm. 3) Если нет — используйте on/off через сухой контакт (комнатный термостат). Важно: режим выбирается по возможностям котла, а не только по желанию пользователя.",opentherm;compatibility;settings;curated;curated
20,"OpenTherm не работает: нет обмена, режим readonly или не загорается значок OT на котле","Чек-лист по OpenTherm: 1) Провод и разъём: проверьте, что кабель OpenTherm вставлен до конца в разъём контроллера и в клеммы котла; попробуйте другой кабель (витая пара, короткий участок). 2) Настройки котла: в меню котла должен быть включён режим OpenTherm/цифровой термостат (не только «комнатный термостат on/off»). На части котлов есть дип-переключатель OT — он должен быть в рабочем положении. 3) Настройки SmartTherm: в прошивке выбран режим OpenTherm, а не on/off; после смены режима перезагрузите контроллер. 4) Один мастер на шине: два контроллера одновременно на одной шине OT обычно конфликтуют — оставьте один активный. 5) Питание адаптера: слабый или шумный блок питания USB может давать сбои обмена — попробуйте БП 5V ≥2A и короткий кабель. Если обмен есть, но параметры только «на чтение» — проверьте, не ограничивает ли котёл управление по OT (зависит от модели и положения дип-переключателя). Укажите модель котла и версию прошивки SmartTherm.",opentherm;wiring;diagnostics;errors;curated;curated
21,"Котёл Baxi OpenTherm: пропала горячая вода (ГВС), не греет бойлер или отопление не выше 40–45 °C после подключения SmartTherm","Типовые причины на Baxi при замене штатной панели на SmartTherm: 1) Горячая вода (ГВС): на части настроек ГВС идёт через отдельный контур CH2. В интерфейсе SmartTherm проверьте опцию «Использовать CH2 для горячей воды» (ID0:HB4) — без неё ГВС может не запускаться при управлении только отоплением. 2) Лимит температуры: если на котле/в настройках стоит ограничение ~48 °C на выходе, отопление не поднимется выше — сверьте уставки на панели котла и в SmartTherm. 3) Режим ПИД: при выключенном отоплении и обогреве котёл может не греть бойлер — проверьте сезон (зима/лето) и режимы ГВС/отопления. 4) Диагностика: отключите SmartTherm, подключите штатную панель — если ГВС возвращается, проблема в настройке OT/контуров, а не в котле. Для разбора укажите: точную модель Baxi, версию прошивки SmartTherm, скрин настроек CH2 и что именно не работает (ГВС, отопление или оба).",baxi;opentherm;settings;hot_water;curated;curated
22,SmartTherm установлен внутри корпуса котла и отваливается / перезагружается. Может ли перегрев быть причиной?,"Да, перегрев внутри теплоизоляции котла — частая причина нестабильной работы ESP. Что сделать: 1) Вынесите контроллер наружу котла — на DIN-рейку или в зону с нормальной вентиляцией (температура внутри корпуса при работе горелки может быть высокой). 2) Проверьте блок питания: достаточный ток, качественный БП 5V, короткий USB-кабель. 3) После переноса проверьте стабильность Wi-Fi и обмена OpenTherm в течение нескольких часов. Контроллер рассчитан на работу в нормальных температурных условиях помещения/щита, а не внутри горячего шкафа котла.",hardware;diagnostics;power;safety;curated;curated
23,"Не подключается приложение SmartTherm Client удалённо по MQTT, хотя контроллер к серверу подключается","Разделите проблему на два уровня: 1) Контроллер → MQTT-брокер: если сам SmartTherm на связи, проверьте host/port/user/password MQTT в настройках устройства и что брокер доступен из сети контроллера. 2) Телефон → сервер/брокер: приложение Client должно достучаться до того же адреса снаружи. Если сервер пингуется с телефона, но Client не подключается — проверьте: — проброс портов/NAT и firewall на роутере; — TLS/порт (1883 vs 8883); — учётные данные в приложении совпадают с брокером; — нет ли блокировки мобильным оператором. Для Home Assistant обычно используют MQTT-интеграцию HA, а не только Client. Укажите: локально Client работает или нет, какой брокер (свой/VPS), версию прошивки.",mqtt;wifi;integration;diagnostics;curated;curated
