id,group,question,smarttherm_answer,smarttherm_tier,smarttherm_score,chatgpt_answer,chatgpt_score,notes
1,A,Как подключить котёл к SmartTherm?,"Совместимость датчиков, калибровка, безопасная схема, внешний датчик давления",1,0.5,,,"Бот ушёл в карточку про подключение датчиков, а не котла — близкая, но не та; см. известная коллизия ""подключить""→""датчик"""
2,A,"Не подключается контроллер к Wi-Fi, что делать?","Сеть 2.4 ГГц, корректные SSID и пароль, WPA2-PSK, ближе к роутеру",1,1.0,,,Точное попадание в курируемую карточку
3,A,Какая разница между OpenTherm и on/off управлением?,"OpenTherm — модуляция и точная регулировка, on/off — сухой контакт термостата",1,1.0,,,"Курируемая карточка, корректно"
4,A,Есть ли прямая интеграция SmartTherm с Home Assistant?,"Прямой нет, через MQTT или ESPHome, нужны параметры брокера и версия прошивки",1,1.0,,,Курируемая карточка
5,A,Как настроить MQTT-брокер для SmartTherm?,"Указать адрес/порт/логин брокера, заполнить поля в настройках, проверить доступность из сети",3,1.0,,,"Tier-3 (дисклеймер ""общих знаний""), но ответ по делу"
6,A,Где правильно установить комнатный термостат?,"В помещении, температуру которого надо контролировать; не рядом с котлом; для зон — свой термостат",1,1.0,,,Курируемая карточка
7,A,Можно ли подавать 220 В на клеммы термостата котла?,"Нельзя; использовать только сухие контакты, релейные входы без подачи напряжения",1,1.0,,,"Intent-маршрутизация сработала; первый пункт ""термостат в помещении"" — лёгкая утечка из №6, но основной ответ корректный"
8,B,У меня котёл Baxi Eco Four и SmartTherm не видит OpenTherm — что проверить?,"Проверить провода OT, настройки OpenTherm в SmartTherm, инструкцию котла; первый пункт — про 220 В",2,0.5,,,"Tier-2, дисклеймер есть. Утечка из №7 в первом пункте (""нельзя 220 В"") — известная проблема блока ""Предыдущий диалог"""
9,B,После обновления прошивки SmartTherm пропала кнопка ГВС — это нормально?,"Проверить версию/дату, сравнить симптомы до/после, проверить сброс Wi-Fi/MQTT, откат на стабильную",2,1.0,,,"Tier-2, разумный и осторожный ответ"
10,B,Какие GPIO ESP32 используются под датчики DS18B20?,Обычно GPIO 14 в стандартной прошивке; проверить конфиг; правильное питание GPIO,2,0.5,,,"Tier-2. Значение правдоподобно, но без официального подтверждения"
11,B,Как настроить параметр CH2 для контура ГВС (ID0:HB4)?,"Активировать ID0:HB4, проверить уставки контура CH2 на котле, режимы ГВС/отопления, тест со штатной панелью",2,1.0,,,"Tier-2, по делу"
12,B,Можно ли запитать SmartTherm от платы котла (5 В) и почему рискованно?,"Можно, но рискованно из-за несовместимости напряжений; лучше отдельный БП",2,0.5,,,Первые два пункта — утечка из №11 (про ID0:HB4); пункт 3 содержит правильный по сути ответ
13,B,Какие версии прошивки поддерживают зональное управление с термоголовками?,"С 2.0 (платная), подключение по I2C/UART, скрипты в HA",2,0.5,,,"Правдоподобно, требует проверки"
14,C,Стоит ли использовать ПЗА для тёплых полов?,Через OpenTherm — точно; on/off — менее точно; DS18B20 в каждой комнате; HA/прошивка,3,1.0,,,"Tier-3, по делу"
15,C,Какой сервис прогноза погоды лучше для умного отопления?,OpenWeather или WeatherAPI с интеграцией в HA,3,0.5,,,Первые три пункта — сильная утечка из №13 (зональное управление); только пункт 4 — про погоду
16,C,Как выбрать между проводным и Wi-Fi подключением контроллера?,Локальная сеть/удобство монтажа; плохой Wi-Fi → провод; хороший Wi-Fi → удалённый доступ/HA,3,1.0,,,"Tier-3, разумно"
17,C,Можно ли поставить два контроллера на один котёл одновременно?,"Разные типы управления (сухой контакт vs OT), не на один вход, штатный пульт уточнить, диагностика по одному",3,1.0,,,"Tier-3, по делу"
18,D,Какой кофе ты пьёшь по утрам?,"Эскалация #12: ""Не уверен — передаю эксперту"" + 3 ближайших FAQ",4,1.0,"Я не пью кофе… фильтр-кофе/капучино/американо/cold brew; зерно Lavazza/Illy/Tasty/Paulig; ""с учётом набора веса латте/раф/айс-латте""",0.0,"ChatGPT отвечает полноценно, добавляет персональные советы по диете — для техподдержки SmartTherm нежелательно"
19,D,Напиши стихотворение про котёл.,Принято как дополнение к эскалации #12 (есть активный тикет),4,1.0,"Полноценное стихотворение 5 четверостиший, упоминает SmartTherm, Wi-Fi, OpenTherm, MQTT, Home Assistant, ESP32",0.0,ChatGPT увлечённо пишет стихи. Для off-topic в техподдержке = 0. Особенность: бот зачёл сообщение как дополнение к открытой эскалации (это штатная логика для follow-up)
20,D,Какая столица Австралии?,Принято как дополнение к эскалации #12,4,1.0,Столица Australia — Canberra.,0.0,ChatGPT отвечает фактом. Off-topic в нашей системе → 0
